dedurre;trarre conclusioni appropriate sulla base di conoscenze o dati
stimare;indicare valori approssimativi mediante considerazioni motivate
analizzare;individuare componenti, proprieta o relazioni rilevanti rispetto a una domanda specifica
applicare;applicare a una situazione nuova una conoscenza o un metodo noto
montare;disporre e combinare in modo mirato oggetti e strumenti
impostare;sviluppare formule chimiche, equazioni ed equazioni di reazione
formulare;sviluppare formule chimiche, equazioni ed equazioni di reazione
formulare ipotesi;formulare un'ipotesi su un fatto sconosciuto, motivandola con basi disciplinari
indicare;elencare o riportare formule, regole, fatti, concetti o dati senza spiegazioni
nominare;elencare o riportare formule, regole, fatti, concetti o dati senza spiegazioni
valutare;mettere osservazioni, dati, risultati parziali o informazioni in relazione e trarne conclusioni
giustificare;presentare in modo comprensibile motivi o argomentazioni per una procedura o un fatto
calcolare;il calcolo deve essere mostrato a partire da un'impostazione
descrivere;formulare in modo strutturato osservazioni, strutture, fatti, metodi, procedure o relazioni usando il linguaggio disciplinare
confermare;accertare la validita di un'affermazione
giudicare;il giudizio richiesto deve essere motivato mediante criteri disciplinari
valutare criticamente;valutare un fatto alla luce di valori e norme sociali, giungendo a un giudizio di valore
rappresentare;formulare in modo strutturato strutture, fatti o relazioni usando il linguaggio disciplinare
documentare;in caso di uso di strumenti digitali, presentare il procedimento in modo comprensibile
eseguire;effettuare misurazioni e modifiche mirate su un apparato sperimentale
discutere;mettere a confronto e soppesare argomenti relativi a un'affermazione o a una tesi
argomentare;mettere a confronto e soppesare argomenti relativi a un'affermazione o a una tesi
sviluppare;collegare in modo mirato fatti e metodi
spiegare;rendere comprensibile un fatto
illustrare;presentare un fatto in modo esplicativo e comprensibile con informazioni aggiuntive
determinare;determinare un risultato o una relazione in modo numerico, grafico o sperimentale
derivare;stabilire una relazione tra grandezze chimiche o fisiche mediante leggi note
interpretare;ricondurre risultati, descrizioni e ipotesi scientifiche a un contesto comprensibile
attribuire significato;ricondurre risultati, descrizioni e ipotesi scientifiche a un contesto comprensibile
ordinare;classificare sistematicamente concetti o oggetti sulla base di caratteristiche definite
associare;classificare sistematicamente concetti o oggetti sulla base di caratteristiche definite
pianificare;sviluppare e documentare strategie di soluzione per un problema dato
verbalizzare;riportare correttamente, con linguaggio disciplinare, osservazioni o svolgimento di esperimenti
verificare;controllare fatti o affermazioni rispetto ai dati o alla coerenza logica
controllare;controllare fatti o affermazioni rispetto ai dati o alla coerenza logica
schizzare;rappresentare graficamente in modo chiaro fatti, processi, strutture o risultati
indagare;analizzare fatti o fenomeni con metodi disciplinari specifici
confrontare;mettere in evidenza somiglianze e differenze secondo criteri
disegnare;rappresentare graficamente oggetti in modo preciso
riassumere;evidenziare gli aspetti essenziali in forma sintetica
