indicare;Per l'indicazione o la nomina non e necessaria alcuna motivazione.
nominare;Per l'indicazione o la nomina non e necessaria alcuna motivazione.
decidere;Per la decisione non e necessaria alcuna motivazione.
giudicare;Il giudizio da formulare deve essere motivato.
descrivere;In una descrizione e particolarmente importante una formulazione linguistica adeguata e, se necessario, un uso corretto del linguaggio disciplinare. Non e necessaria una motivazione della descrizione.
illustrare;L'illustrazione fornisce informazioni che rendono comprensibile, ad esempio, la costruzione di una rappresentazione grafica o una procedura matematica.
interpretare;L'interpretazione mette in relazione, ad esempio, una rappresentazione grafica, un termine o il risultato di un calcolo con un contesto dato.
dare significato;L'interpretazione mette in relazione, ad esempio, una rappresentazione grafica, un termine o il risultato di un calcolo con un contesto dato.
giustificare;Affermazioni o fatti devono essere confermati tramite deduzione logica. Il metodo puo essere scelto liberamente, salvo diverse indicazioni (ad esempio, uso di procedure numeriche o grafiche). Il procedimento deve essere mostrato.
dimostrare;Affermazioni o fatti devono essere confermati tramite deduzione logica. Il metodo puo essere scelto liberamente, salvo diverse indicazioni (ad esempio, uso di procedure numeriche o grafiche). Il procedimento deve essere mostrato.
mostrare;Affermazioni o fatti devono essere confermati tramite deduzione logica. Il metodo puo essere scelto liberamente, salvo diverse indicazioni (ad esempio, uso di procedure numeriche o grafiche). Il procedimento deve essere mostrato.
derivare;Da fatti o affermazioni note, la nascita di un nuovo fatto deve essere spiegata secondo regole logiche valide, con calcoli o motivazioni logiche. In una catena argomentativa a piu passi, i passaggi intermedi possono essere svolti con strumenti matematici digitali, salvo diverse indicazioni.
calcolare;Il calcolo deve essere mostrato a partire da un'impostazione. Ad esempio, per calcolare i punti estremi di una funzione f non e ammesso leggerli direttamente dal grafico di f.
determinare;Deve essere mostrato un possibile procedimento di soluzione e formulato il risultato. Il metodo puo essere scelto liberamente, salvo diverse indicazioni (ad esempio, uso di procedure numeriche o grafiche). Il procedimento deve essere mostrato.
stabilire;Deve essere mostrato un possibile procedimento di soluzione e formulato il risultato. Il metodo puo essere scelto liberamente, salvo diverse indicazioni (ad esempio, uso di procedure numeriche o grafiche). Il procedimento deve essere mostrato.
classificare;Un insieme di oggetti deve essere suddiviso in classi secondo criteri dati o scelti autonomamente. L'eventuale motivazione dei criteri dati o scelti puo essere richiesta separatamente.
confrontare;Fatti, oggetti o procedure devono essere messi a confronto, individuando punti comuni, somiglianze e differenze. Se necessario, i criteri di confronto devono essere definiti. Un'eventuale valutazione puo essere richiesta separatamente.
analizzare;Proprieta di oggetti o relazioni tra oggetti devono essere individuate e presentate. A seconda del contesto puo essere necessario, ad esempio, strutturare, ordinare o classificare. Il metodo puo essere scelto liberamente, salvo diverse indicazioni (ad esempio, uso di procedure numeriche o grafiche). Il procedimento deve essere mostrato.
rappresentare graficamente;La rappresentazione grafica o il disegno devono essere realizzati nel modo piu preciso possibile.
disegnare;La rappresentazione grafica o il disegno devono essere realizzati nel modo piu preciso possibile.
schizzare;Lo schizzo deve essere realizzato in modo da descrivere graficamente gli aspetti essenziali nel contesto considerato.
